time,open,high,low,close,TWAP,VWAP,Plot
1704585600,238.07,240.48,217.99,219.12,225.86333333333334,225.86333333333334,1.5524509108617057
1704672000,219.12,259.66,193.33,251.82,234.93666666666664,234.9366666666666,1.5865878731317222
1704758400,251.82,263,235.2,244.08,247.42666666666665,247.42666666666665,1.7610654927169427
1704844800,244.08,251.93,200,222.83,224.92,224.92,1.61307977577651
1704931200,222.83,250,213,217.59,226.86333333333334,226.86333333333334,1.6024390258661347
1705017600,217.59,233,207.81,222.9,221.23666666666668,221.23666666666668,1.5645035102824563
1705104000,222.9,235.71,207.7,229.53,224.3133333333333,224.3133333333333,1.6104190519714057
1705190400,229.53,237.46,216.07,219.64,224.39,224.39000000000001,1.6451709597067878
1705276800,219.64,225.83,216.47,222.09,221.46333333333334,221.46333333333334,1.62193354722781
1705363200,222.09,269.11,219.37,255.1,247.86,247.86,1.8525978329684056
1705449600,255.1,280,245.68,266.35,264.01000000000005,264.01000000000005,2.079209450799642
1705536000,266.35,271.86,234.29,254.11,253.42,253.42,2.0429170081425654
1705622400,254.11,254.98,226,245.65,242.21,242.21,1.9562136975265656
1705708800,245.65,256.56,237.33,250.75,248.21333333333334,248.21333333333334,2.014819741662643
1705795200,250.75,265.69,250.14,254.83,256.88666666666666,256.88666666666666,2.1179418080761727
1705881600,254.83,259.77,233.16,248.83,247.25333333333333,247.25333333333333,2.083368693234284
1705968000,248.83,277.14,246.71,268.19,264.0133333333333,264.0133333333333,2.236822705045478
1706054400,268.19,328.5,263.83,321.14,304.48999999999995,304.48999999999995,2.6427196868137734
1706140800,321.14,370,305.15,325,333.3833333333333,333.3833333333333,3.0123837884406437
1706227200,325,353.79,315.18,342.91,337.29333333333335,337.29333333333335,3.1272741075321133
1706313600,342.91,369.98,330.54,359.92,353.48,353.47999999999996,3.35739023032781
1706400000,359.92,389,350,357.47,365.49,365.49,3.530038904119749
1706486400,357.47,409,334.19,391.6,378.2633333333333,378.2633333333333,3.633082476372985
1706572800,391.6,475,387.91,423.19,428.70000000000005,428.70000000000005,4.157574481413889
1706659200,423.19,480.54,414.16,469.21,454.6366666666667,454.6366666666667,4.440821164700507
1706745600,469.21,479.97,430.77,448.75,453.16333333333336,453.16333333333336,4.43631466095077
1706832000,448.75,457.18,415.34,431.93,434.81666666666666,434.81666666666666,4.109474674364366
1706918400,431.93,459.13,428.73,431.5,439.7866666666667,439.78666666666663,4.090098660241679
1707004800,431.5,460.08,416.24,419.39,431.90333333333336,431.90333333333336,4.04453636311099
1707091200,419.39,456.55,417.43,449.35,441.10999999999996,441.10999999999996,4.037237684876154
1707177600,449.35,518.01,448.46,490.88,485.7833333333333,485.78333333333325,4.418814070031493
1707264000,490.88,498,437.83,438.86,458.23,458.22999999999996,4.2740317088497015
1707350400,438.86,457.16,414,455.5,442.22,442.22,3.9773930498275316
1707436800,455.5,550,451.45,549,516.8166666666667,516.8166666666667,4.582576515000268
1707523200,549,618.1,525.9,577.15,573.7166666666667,573.7166666666667,5.138374843112038
1707609600,577.15,597.58,532.4,536.43,555.4699999999999,555.4699999999999,4.955220055556042
1707696000,536.43,591.94,534.68,541.84,556.1533333333333,556.1533333333333,4.742138676686381
1707782400,541.84,591.49,524.07,580.97,565.51,565.51,4.635343190288045
1707868800,580.97,619.99,558.69,617.93,598.87,598.87,4.677838786129236
1707955200,617.93,682.7,600.86,670.83,651.4633333333333,651.4633333333333,4.888410325989891
1708041600,670.83,699,636.81,664.77,666.86,666.86,4.850192271739168
1708128000,664.77,680,632.84,659.42,657.4200000000001,657.4200000000001,4.6036620241840716
